add 0
addd 43
and 12
ashr 16
b 26
bd 51
be 25
bed 52
bp 53
call 40
conscb 256
conscg 65536
conscr 16777216
div 3
divd 46
eq 22
eqd 47
fld 58
hb 55
im1 4611686018427387904
im2 -9223372036854775808
imb -4611686018427387904
jmp 21
keystack 42
l 24
lcons 34
ld 49
le 27
led 50
lram 32
mod 7
mov -9223372036854775808
mtr 57
mul 2
muld 45
nand 13
neg 4
neq 23
neqd 48
nor 11
not 5
offcons 36
or 10
pop 37
prsdkeys 41
push 38
r0 0
r1 1
r2 2
r3 3
r4 4
r5 5
r6 6
r7 7
r8 8
r9 9
r10 10
r11 11
r12 12
r13 13
r14 14
r15 15
ret 39
rol 17
ror 16
rvr 54
scons 35
shl 15
shr 14
sram 33
sub 1
subd 44
ub 30
ube 29
ul 28
ule 31
xnor 9
xor 8
